@RELATION hddperf

@ATTRIBUTE writepct NUMERIC
@ATTRIBUTE leaders NUMERIC
@ATTRIBUTE followers NUMERIC
@ATTRIBUTE iops NUMERIC

@DATA
90,6,24,386
100,6,24,401
10,11,24,266
20,11,24,277
30,11,24,414
40,11,24,427
45,11,24,394
50,11,24,369
55,11,24,378
60,11,24,266
70,11,24,348
80,11,24,342
90,11,24,367
100,11,24,388
10,16,24,270
20,16,24,244
30,16,24,398
40,16,24,406
45,16,24,431
50,16,24,240
55,16,24,255
60,16,24,174
70,16,24,348
80,16,24,334
90,16,24,320
100,16,24,349
10,21,24,440
20,21,24,444
30,21,24,421
40,21,24,411
45,21,24,422
50,21,24,346
55,21,24,390
60,21,24,401
70,21,24,336
80,21,24,346
90,21,24,335
100,21,24,309
10,25,25,418
20,25,25,427
30,25,25,422
40,25,25,394
45,25,25,377
50,25,25,363
55,25,25,380
60,25,25,406
70,25,25,349
80,25,25,338
90,25,25,318
100,25,25,315
10,14,26,293
20,14,26,298
30,14,26,392
40,14,26,400
45,14,26,401
50,14,26,291
55,14,26,305
60,14,26,297
70,14,26,333
80,14,26,324
90,14,26,340
100,14,26,359
10,3,27,479
20,3,27,489
30,3,27,477
40,3,27,507
45,3,27,503
50,3,27,480
55,3,27,480
60,3,27,483
70,3,27,404
80,3,27,409
90,3,27,376
100,3,27,416
10,18,27,433
20,18,27,408
30,18,27,416
40,18,27,431
45,18,27,429
50,18,27,394
55,18,27,296
60,18,27,323
70,18,27,354
80,18,27,326
90,18,27,312
100,18,27,330
10,23,27,430
20,23,27,442
30,23,27,416
40,23,27,414
45,23,27,400
50,23,27,396
55,23,27,361
60,23,27,402
70,23,27,325
80,23,27,327
90,23,27,311
100,23,27,309
10,7,28,390
20,7,28,412
30,7,28,427
40,7,28,435
45,7,28,433
50,7,28,414
55,7,28,416
60,7,28,324
70,7,28,374
80,7,28,355
90,7,28,359
100,7,28,371
10,12,28,272
20,12,28,269
30,12,28,403
40,12,28,390
45,12,28,390
50,12,28,186
55,12,28,352
60,12,28,306
70,12,28,340
80,12,28,345
90,12,28,346
100,12,28,359
10,16,29,267
20,16,29,250
30,16,29,380
40,16,29,381
45,16,29,362
50,16,29,369
55,16,29,275
60,16,29,266
70,16,29,330
80,16,29,334
90,16,29,324
100,16,29,345
10,20,30,409
20,20,30,424
30,20,30,361
40,20,30,408
45,20,30,406
50,20,30,364
55,20,30,355
60,20,30,344
70,20,30,338
80,20,30,310
90,20,30,304
100,20,30,304
10,4,31,431
20,4,31,459
30,4,31,471
40,4,31,460
45,4,31,474
50,4,31,441
55,4,31,441
60,4,31,455
70,4,31,382
80,4,31,364
90,4,31,366
100,4,31,383
10,14,31,234
20,14,31,337
30,14,31,354
40,14,31,377
45,14,31,368
50,14,31,364
55,14,31,360
60,14,31,332
70,14,31,338
80,14,31,337
90,14,31,328
100,14,31,341
10,8,32,376
20,8,32,416
30,8,32,402
40,8,32,419
45,8,32,422
50,8,32,323
55,8,32,398
60,8,32,416
70,8,32,366
80,8,32,339
90,8,32,357
100,8,32,358
10,18,32,412
20,18,32,416
30,18,32,327
40,18,32,411
45,18,32,401
50,18,32,388
55,18,32,291
60,18,32,293
70,18,32,334
80,18,32,314
90,18,32,301
100,18,32,319
10,15,35,271
20,15,35,309
30,15,35,330
40,15,35,359
45,15,35,353
50,15,35,355
55,15,35,349
60,15,35,353
70,15,35,322
80,15,35,320
90,15,35,305
100,15,35,303
10,4,36,437
20,4,36,455
30,4,36,453
40,4,36,458
45,4,36,460
50,4,36,410
55,4,36,441
60,4,36,441
70,4,36,386
80,4,36,337
90,4,36,329
100,4,36,362
10,9,36,367
20,9,36,390
30,9,36,388
40,9,36,407
45,9,36,401
50,9,36,399
55,9,36,377
60,9,36,393
70,9,36,357
80,9,36,347
90,9,36,327
100,9,36,345
10,5,40,430
20,5,40,440
30,5,40,426
40,5,40,434
45,5,40,373
50,5,40,428
55,5,40,415
60,5,40,431
70,5,40,366
80,5,40,355
90,5,40,336
100,5,40,341
10,10,40,343
20,10,40,381
30,10,40,379
40,10,40,386
45,10,40,397
50,10,40,387
55,10,40,373
60,10,40,382
70,10,40,354
80,10,40,334
90,10,40,324
100,10,40,289
10,5,45,396
20,5,45,451
30,5,45,413
40,5,45,347
45,5,45,421
50,5,45,422
55,5,45,392
60,5,45,404
70,5,45,365
80,5,45,335
90,5,45,324
100,5,45,298

